season,year,shocks,effective_use_rate,mean_wait_days,backlog_mu,mean_loss_fraction,avoided_loss_fraction,mitigation_rate,mean_income,income_p10,gini_income,exit_rate,fiscal_spend,fiscal_cumulative,equity_gap,mountain_gap,capacity_units,reliability,trust,capable_share,recovery_seasons_mean,adopt_T1,adopt_T2,adopt_T3,service_T1,service_T2,service_T3,effort_T1,effort_T2,effort_T3,contract_linear,contract_concave,contract_convex,contract_self,contract_infeasible,scenario,rep
1,0.5,D2,0.09876543209876543,3.399010410519648,0.0,0.0649017011284907,0.0027119854350050026,0.040110006906045416,9970.812462218131,2672.504289796235,0.4497464557247158,0.0,1617.7346979974977,1617.7346979974977,0.0056669830681696206,0.005149007234950791,0.1714826551929818,0.892,0.5523148148148148,0.20046913580246914,,0.19753086419753085,0.0,0.12345679012345678,0.19753086419753085,0.0,0.12345679012345678,0.5879819821973034,0.0,0.6307520870210584,0,6,20,0,0,voucher,1
2,1.0,,0.16049382716049382,7.823046298830426,82.79120333507925,0.0,0.0,0.0,11141.68909891326,2793.4217281280635,0.4448185769852488,0.0,1486.8508773557814,3104.585575353279,0.0,0.0,0.1629085224333327,0.88496,0.5478472222222223,0.18443456790123458,1.0,0.2345679012345679,0.0,0.14814814814814814,0.2345679012345679,0.0,0.14814814814814814,0.898535819644118,0.0,0.5687238057736017,2,15,11,0,0,voucher,1
3,1.5,,0.12345679012345678,11.443828079091588,91.77728871338921,0.0,0.0,0.0,10037.181375894164,2959.216457573954,0.4081070111913998,0.0,1564.7009514372596,4669.286526790539,0.0,0.0,0.15476309631166607,0.8787647999999999,0.5442202932098765,0.16907753086419755,1.0833333333333333,0.24691358024691357,0.0,0.13580246913580246,0.24691358024691357,0.0,0.13580246913580246,0.6223207881107954,0.0,0.6343497630359735,1,5,23,0,0,voucher,1
4,2.0,D2,0.1111111111111111,11.730101266441055,113.50051516444069,0.03029998555965208,0.0008609012269068523,0.027627622820997417,10581.90795739337,2820.3006463183833,0.4409398284582321,0.0,1281.6325816051105,5950.919108395649,0.0020977797978160738,0.0018057138068286911,0.14702494149608275,0.8733130239999999,0.5401574266975309,0.15494755555555556,1.0769230769230769,0.16049382716049382,0.0,0.14814814814814814,0.16049382716049382,0.0,0.14814814814814814,0.8022114202039012,0.0,0.6426720262069363,1,12,9,0,0,voucher,1
1,0.5,,0.2345679012345679,3.83004258164149,0.0,0.0,0.0,0.0,13150.790837358187,2986.805585542871,0.5037333828484047,0.0,1739.4228739804412,1739.4228739804412,0.0,0.0,18.67817592608287,0.892,0.5475000000000001,0.2038641975308642,,0.30864197530864196,0.0,0.1728395061728395,0.30864197530864196,0.0,0.1728395061728395,0.6527485551959125,0.0,0.7178879345071885,0,10,29,0,0,voucher_plus_capacity,0
2,1.0,D2,0.2716049382716049,1.0110494962422136,0.0,0.2960703525218958,0.018596269860286806,0.05909832355114059,7668.77091172551,1430.0732486348188,0.46273907793538266,0.0,1724.9274030561503,3464.3502770365913,0.038317797833299395,0.031621378159916565,36.21226712977872,0.88496,0.5231496913580248,0.1902679012345679,1.0,0.2839506172839506,0.0,0.19753086419753085,0.2839506172839506,0.0,0.19753086419753085,0.745149672391941,0.0,0.7193676794025246,4,17,18,0,0,voucher_plus_capacity,0
3,1.5,,0.2716049382716049,1.002599040540672,0.0,0.0,0.0,0.0,13093.744681992152,3173.2337451459534,0.460777896838927,0.0,1806.448530299261,5270.798807335852,0.0,0.0,52.869653773289784,0.8787647999999999,0.5219922067901236,0.17803123456790124,1.368421052631579,0.30864197530864196,0.012345679012345678,0.19753086419753085,0.30864197530864196,0.012345679012345678,0.19753086419753085,0.7260198315905056,1.0,0.7023219044747819,3,17,22,0,0,voucher_plus_capacity,0
4,2.0,D3,0.2222222222222222,1.000408911852171,0.0,0.27928416493668035,0.0019320737837297986,0.0068704204014715465,8707.017269826898,1158.2114368785235,0.5385701024535905,0.0,1800.851361443604,7071.650168779456,0.0031655725400278915,0.002346699682955666,68.6941710846253,0.7193624268736712,0.49422592978395075,0.16578366666666666,1.368421052631579,0.2716049382716049,0.012345679012345678,0.19753086419753085,0.2716049382716049,0.0,0.19753086419753085,0.6790949281668575,0.30000000000000004,0.7000672934301427,2,15,21,1,0,voucher_plus_capacity,0
1,0.5,D2,0.09876543209876543,3.399010410519648,0.0,0.0649017011284907,0.0027119854350050026,0.040110006906045416,9970.812462218131,2672.504289796235,0.4497464557247158,0.0,1617.7346979974977,1617.7346979974977,0.0056669830681696206,0.005149007234950791,18.63948265519298,0.892,0.5523148148148148,0.20046913580246914,,0.19753086419753085,0.0,0.12345679012345678,0.19753086419753085,0.0,0.12345679012345678,0.5879819821973034,0.0,0.6307520870210584,0,6,20,0,0,voucher_plus_capacity,1
2,1.0,,0.13580246913580246,1.0019346170447458,0.0,0.0,0.0,0.0,11113.98872624631,2732.253917141894,0.4470475760235466,0.0,1954.4323865421343,3572.167084539632,0.0,0.0,36.17550852243333,0.88496,0.549699074074074,0.1838172839506173,1.0,0.25925925925925924,0.012345679012345678,0.14814814814814814,0.25925925925925924,0.0,0.14814814814814814,0.5474658890568046,0.30000000000000004,0.6095529372255388,0,5,28,1,0,voucher_plus_capacity,1
