file,key,path,read_by_code,value
technologies.yaml,learning_cost,bundles.model.learning_cost,True,0.15
technologies.yaml,learning_cost_own,bundles.model.learning_cost_own,True,0.6
technologies.yaml,lifetime_years,bundles.model.lifetime_years,True,8
technologies.yaml,model,bundles.model,True,
technologies.yaml,mountain,bundles.model.terrain_fit.mountain,True,0.85
technologies.yaml,opex_per_mu,bundles.model.opex_per_mu,True,2.0
technologies.yaml,plain,bundles.model.terrain_fit.plain,True,1.0
technologies.yaml,policy_levers,bundles.policy_levers,True,
technologies.yaml,power_dependent,bundles.model.power_dependent,True,True
technologies.yaml,routine_benefit_per_mu,bundles.model.routine_benefit_per_mu,True,4.0
technologies.yaml,service_price_per_mu,bundles.model.service_price_per_mu,True,12.0
technologies.yaml,terrain_fit,bundles.model.terrain_fit,True,
