parameter,module,direction,param_base,param_value,output,base,value,pct_change_out,elasticity
provider risk mean,risk,low,0.33,0.2,effort_T3,0.743096898378123,0.5645299667679443,-24.030100515816624,0.6099948592476528
provider risk mean,risk,low,0.33,0.2,effective_use_rate,0.1691666666666667,0.08916666666666666,-47.290640394088676,1.2004547176960974
provider risk mean,risk,low,0.33,0.2,mitigation_rate,0.019081530743363915,0.013093767798657091,-31.379887836248255,0.7965663835355327
provider risk mean,risk,low,0.33,0.2,mean_wait_days,14.923042921534568,12.352306283599225,-17.22662496819375,0.4372912491926106
provider risk mean,risk,low,0.33,0.2,mean_income,8061.483789570764,8034.3721769865515,-0.33631045216871014,0.008537111478128797
provider risk mean,risk,high,0.33,0.5,adopt_any,0.14227777777777775,0.14200000000000002,-0.1952362358453449,-0.0037898798722919907
provider risk mean,risk,high,0.33,0.5,effort_T3,0.743096898378123,0.789636529920856,6.262929053305162,0.12157450515239435
provider risk mean,risk,high,0.33,0.5,effective_use_rate,0.1691666666666667,0.1815,7.290640394088653,0.14152419588525036
provider risk mean,risk,high,0.33,0.5,mitigation_rate,0.019081530743363915,0.020406576358850258,6.944126408449495,0.13479774792872554
provider risk mean,risk,high,0.33,0.5,mean_wait_days,14.923042921534568,15.688287012834365,5.127936006908606,0.09954228719293179
provider risk mean,risk,high,0.33,0.5,mean_income,8061.483789570764,8069.947163140855,0.10498530780450176,0.002037950092675623
routine benefit T3,technology,low,22.0,11.0,adopt_any,0.14227777777777775,0.1281111111111111,-9.957048028114016,0.1991409605622803
routine benefit T3,technology,low,22.0,11.0,effort_T3,0.743096898378123,0.7511270786981058,1.080637039060373,-0.021612740781207458
routine benefit T3,technology,low,22.0,11.0,effective_use_rate,0.1691666666666667,0.16216666666666668,-4.1379310344827624,0.08275862068965524
routine benefit T3,technology,low,22.0,11.0,mitigation_rate,0.019081530743363915,0.01696652770733043,-11.084032326751519,0.2216806465350304
routine benefit T3,technology,low,22.0,11.0,mean_wait_days,14.923042921534568,10.714268006914262,-28.20319513084607,0.5640639026169214
routine benefit T3,technology,low,22.0,11.0,mean_income,8061.483789570764,8033.6137368673235,-0.3457186472234369,0.006914372944468739
routine benefit T3,technology,high,22.0,33.0,adopt_any,0.14227777777777775,0.1543888888888889,8.512299882858292,0.17024599765716583
routine benefit T3,technology,high,22.0,33.0,effort_T3,0.743096898378123,0.7309556258802073,-1.6338747375228013,-0.032677494750456025
routine benefit T3,technology,high,22.0,33.0,effective_use_rate,0.1691666666666667,0.1825,7.881773399014763,0.15763546798029526
routine benefit T3,technology,high,22.0,33.0,mitigation_rate,0.019081530743363915,0.020909037866433975,9.577361206755501,0.19154722413511002
routine benefit T3,technology,high,22.0,33.0,mean_wait_days,14.923042921534568,18.2517521409026,22.305834251569205,0.4461166850313841
routine benefit T3,technology,high,22.0,33.0,mean_income,8061.483789570764,8096.558071560117,0.4350846929039174,0.008701693858078348
routine benefit T2,technology,low,30.0,15.0,adopt_any,0.14227777777777775,0.13955555555555554,-1.9133151112846456,0.03826630222569291
routine benefit T2,technology,low,30.0,15.0,effort_T3,0.743096898378123,0.7389890695687318,-0.5527985405883019,0.011055970811766038
routine benefit T2,technology,low,30.0,15.0,effective_use_rate,0.1691666666666667,0.16183333333333336,-4.3349753694581254,0.08669950738916252
routine benefit T2,technology,low,30.0,15.0,mitigation_rate,0.019081530743363915,0.01867073543915162,-2.152842503765903,0.04305685007531806
routine benefit T2,technology,low,30.0,15.0,mean_wait_days,14.923042921534568,13.806647510872727,-7.48101721969074,0.1496203443938148
routine benefit T2,technology,low,30.0,15.0,mean_income,8061.483789570764,8062.451249994717,0.01200102176232409,-0.00024002043524648178
routine benefit T2,technology,high,30.0,45.0,adopt_any,0.14227777777777775,0.1426111111111111,0.23428348301446072,0.004685669660289215
routine benefit T2,technology,high,30.0,45.0,effort_T3,0.743096898378123,0.746233065984098,0.42204019594483416,0.008440803918896683
routine benefit T2,technology,high,30.0,45.0,effective_use_rate,0.1691666666666667,0.1731666666666667,2.3645320197044355,0.04729064039408871
routine benefit T2,technology,high,30.0,45.0,mitigation_rate,0.019081530743363915,0.019169499551631233,0.46101546804839966,0.009220309360967993
routine benefit T2,technology,high,30.0,45.0,mean_wait_days,14.923042921534568,14.787906756952081,-0.9055536815985449,-0.018111073631970898
routine benefit T2,technology,high,30.0,45.0,mean_income,8061.483789570764,8063.262827115203,0.022068363478455363,0.00044136726956910723
non-power outage share,loss,low,0.4,0.2,adopt_any,0.14227777777777775,0.14227777777777775,0.0,-0.0
non-power outage share,loss,low,0.4,0.2,effort_T3,0.743096898378123,0.7430743680998413,-0.003031943523229671,6.063887046459342e-05
non-power outage share,loss,low,0.4,0.2,effective_use_rate,0.1691666666666667,0.1691666666666667,0.0,-0.0
non-power outage share,loss,low,0.4,0.2,mitigation_rate,0.019081530743363915,0.01999729652825982,4.799226001375099,-0.09598452002750198
non-power outage share,loss,low,0.4,0.2,mean_wait_days,14.923042921534568,14.923042921534568,0.0,-0.0
non-power outage share,loss,low,0.4,0.2,mean_income,8061.483789570764,8068.4123668218235,0.08594667473031335,-0.0017189334946062671
non-power outage share,loss,high,0.4,0.7,adopt_any,0.14227777777777775,0.14227777777777775,0.0,0.0
non-power outage share,loss,high,0.4,0.7,effort_T3,0.743096898378123,0.7431034243027743,0.0008782064177065435,1.1709418902753916e-05
non-power outage share,loss,high,0.4,0.7,effective_use_rate,0.1691666666666667,0.1691666666666667,0.0,0.0
non-power outage share,loss,high,0.4,0.7,mitigation_rate,0.019081530743363915,0.01770616163834873,-7.207855195231152,-0.09610473593641537
non-power outage share,loss,high,0.4,0.7,mean_wait_days,14.923042921534568,14.923042921534568,0.0,0.0
non-power outage share,loss,high,0.4,0.7,mean_income,8061.483789570764,8051.088500598632,-0.12895006978219975,-0.001719334263762664
learning decay,behaviour,low,1.0,0.5,adopt_any,0.14227777777777775,0.1343888888888889,-5.544709098008573,0.11089418196017145
learning decay,behaviour,low,1.0,0.5,effort_T3,0.743096898378123,0.7439854553347747,0.1195748439525241,-0.002391496879050482
learning decay,behaviour,low,1.0,0.5,effective_use_rate,0.1691666666666667,0.16366666666666665,-3.2512315270936147,0.0650246305418723
learning decay,behaviour,low,1.0,0.5,mitigation_rate,0.019081530743363915,0.018341381747597866,-3.8788764157375297,0.0775775283147506
learning decay,behaviour,low,1.0,0.5,mean_wait_days,14.923042921534568,14.699957326384713,-1.494906878730035,0.0298981375746007
learning decay,behaviour,low,1.0,0.5,mean_income,8061.483789570764,8059.140321419039,-0.029069935670618677,0.0005813987134123736
learning decay,behaviour,high,1.0,2.0,adopt_any,0.14227777777777775,0.1441111111111111,1.2885591565794754,0.012885591565794755
learning decay,behaviour,high,1.0,2.0,effort_T3,0.743096898378123,0.7527594233203784,1.3003048409090034,0.013003048409090034
learning decay,behaviour,high,1.0,2.0,effective_use_rate,0.1691666666666667,0.17833333333333334,5.418719211822653,0.054187192118226535
